Program,Year,Period,Week Ending,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Zip Code,Region,watershed_code,Watershed,Commodity,Domain,Domain Category,RYE - ACRES PLANTED  -  <b>VALUE</b>,RYE - ACRES PLANTED  -  <b>CV (%)</b>
SURVEY,2018,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RYE,TOTAL,NOT SPECIFIED,"1,972,000",
SURVEY,2017,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RYE,TOTAL,NOT SPECIFIED,"1,961,000",
SURVEY,2016,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RYE,TOTAL,NOT SPECIFIED,"1,891,000",
SURVEY,2015,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RYE,TOTAL,NOT SPECIFIED,"1,584,000",
SURVEY,2014,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RYE,TOTAL,NOT SPECIFIED,"1,434,000",
SURVEY,2013,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RYE,TOTAL,NOT SPECIFIED,"1,451,000",
SURVEY,2012,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RYE,TOTAL,NOT SPECIFIED,"1,271,000",
SURVEY,2011,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RYE,TOTAL,NOT SPECIFIED,"1,227,000",
SURVEY,2010,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RYE,TOTAL,NOT SPECIFIED,"1,256,000",
SURVEY,2009,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RYE,TOTAL,NOT SPECIFIED,"1,256,000",
SURVEY,2008,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RYE,TOTAL,NOT SPECIFIED,"1,345,000",
SURVEY,2007,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RYE,TOTAL,NOT SPECIFIED,"1,334,000",
SURVEY,2006,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RYE,TOTAL,NOT SPECIFIED,"1,396,000",
SURVEY,2005,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RYE,TOTAL,NOT SPECIFIED,"1,433,000",
SURVEY,2004,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RYE,TOTAL,NOT SPECIFIED,"1,380,000",
SURVEY,2003,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RYE,TOTAL,NOT SPECIFIED,"1,348,000",
SURVEY,2002,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RYE,TOTAL,NOT SPECIFIED,"1,355,000",
SURVEY,2001,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RYE,TOTAL,NOT SPECIFIED,"1,328,000",
SURVEY,2000,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RYE,TOTAL,NOT SPECIFIED,"1,329,000",
SURVEY,1999,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RYE,TOTAL,NOT SPECIFIED,"1,582,000",
