Program,Year,Period,Week Ending,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Zip Code,Region,watershed_code,Watershed,Commodity,Domain,Domain Category,WHEAT - ACRES PLANTED  -  <b>VALUE</b>,WHEAT - ACRES PLANTED  -  <b>CV (%)</b>
SURVEY,2018,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,"47,821,000",
SURVEY,2017,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,"46,012,000",
SURVEY,2016,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,"50,119,000",
SURVEY,2015,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,"54,999,000",
SURVEY,2014,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,"56,841,000",
SURVEY,2013,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,"56,236,000",
SURVEY,2012,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,"55,294,000",
SURVEY,2011,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,"54,277,000",
SURVEY,2010,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,"52,620,000",
SURVEY,2009,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,"59,017,000",
SURVEY,2008,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,"63,617,000",
SURVEY,2007,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,"60,460,000",
SURVEY,2006,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,"57,334,000",
SURVEY,2005,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,"57,214,000",
SURVEY,2004,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,"59,644,000",
SURVEY,2003,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,"62,141,000",
SURVEY,2002,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,"60,318,000",
