Program,Year,Period,Week Ending,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Zip Code,Region,watershed_code,Watershed,Commodity,Domain,Domain Category,SORGHUM - ACRES PLANTED  -  <b>VALUE</b>,SORGHUM - ACRES PLANTED  -  <b>CV (%)</b>
SURVEY,2018,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SORGHUM,TOTAL,NOT SPECIFIED,"6,040,000",
SURVEY,2017,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SORGHUM,TOTAL,NOT SPECIFIED,"5,626,000",
SURVEY,2016,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SORGHUM,TOTAL,NOT SPECIFIED,"6,690,000",
SURVEY,2015,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SORGHUM,TOTAL,NOT SPECIFIED,"8,459,000",
SURVEY,2014,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SORGHUM,TOTAL,NOT SPECIFIED,"7,138,000",
SURVEY,2013,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SORGHUM,TOTAL,NOT SPECIFIED,"8,076,000",
SURVEY,2012,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SORGHUM,TOTAL,NOT SPECIFIED,"6,259,000",
SURVEY,2011,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SORGHUM,TOTAL,NOT SPECIFIED,"5,451,000",
SURVEY,2010,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SORGHUM,TOTAL,NOT SPECIFIED,"5,369,000",
SURVEY,2009,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SORGHUM,TOTAL,NOT SPECIFIED,"6,599,000",
SURVEY,2008,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SORGHUM,TOTAL,NOT SPECIFIED,"8,404,000",
SURVEY,2007,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SORGHUM,TOTAL,NOT SPECIFIED,"7,712,000",
SURVEY,2006,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SORGHUM,TOTAL,NOT SPECIFIED,"6,522,000",
SURVEY,2005,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SORGHUM,TOTAL,NOT SPECIFIED,"6,454,000",
SURVEY,2004,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SORGHUM,TOTAL,NOT SPECIFIED,"7,486,000",
SURVEY,2003,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SORGHUM,TOTAL,NOT SPECIFIED,"9,420,000",
SURVEY,2002,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SORGHUM,TOTAL,NOT SPECIFIED,"9,589,000",
SURVEY,2001,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SORGHUM,TOTAL,NOT SPECIFIED,"10,248,000",
SURVEY,2000,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SORGHUM,TOTAL,NOT SPECIFIED,"9,195,000",
SURVEY,1999,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SORGHUM,TOTAL,NOT SPECIFIED,"9,288,000",
SURVEY,1998,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SORGHUM,TOTAL,NOT SPECIFIED,"9,626,000",
SURVEY,1997,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SORGHUM,TOTAL,NOT SPECIFIED,"10,052,000",
SURVEY,1996,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SORGHUM,TOTAL,NOT SPECIFIED,"13,097,000",
SURVEY,1995,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SORGHUM,TOTAL,NOT SPECIFIED,"9,429,000",
SURVEY,1994,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SORGHUM,TOTAL,NOT SPECIFIED,"9,787,000",
SURVEY,1993,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SORGHUM,TOTAL,NOT SPECIFIED,"9,882,000",
SURVEY,1992,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SORGHUM,TOTAL,NOT SPECIFIED,"13,177,000",
SURVEY,1991,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SORGHUM,TOTAL,NOT SPECIFIED,"11,064,000",
