Program,Year,Period,Week Ending,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Zip Code,Region,watershed_code,Watershed,Commodity,Domain,Domain Category,OATS - ACRES PLANTED  -  <b>VALUE</b>,OATS - ACRES PLANTED  -  <b>CV (%)</b>
SURVEY,2018,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,OATS,TOTAL,NOT SPECIFIED,"2,889,000",
SURVEY,2017,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,OATS,TOTAL,NOT SPECIFIED,"2,588,000",
SURVEY,2016,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,OATS,TOTAL,NOT SPECIFIED,"2,829,000",
SURVEY,2015,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,OATS,TOTAL,NOT SPECIFIED,"3,088,000",
SURVEY,2014,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,OATS,TOTAL,NOT SPECIFIED,"2,753,000",
SURVEY,2013,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,OATS,TOTAL,NOT SPECIFIED,"2,980,000",
SURVEY,2012,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,OATS,TOTAL,NOT SPECIFIED,"2,700,000",
SURVEY,2011,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,OATS,TOTAL,NOT SPECIFIED,"2,349,000",
SURVEY,2010,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,OATS,TOTAL,NOT SPECIFIED,"3,113,000",
SURVEY,2009,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,OATS,TOTAL,NOT SPECIFIED,"3,349,000",
SURVEY,2008,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,OATS,TOTAL,NOT SPECIFIED,"3,260,000",
SURVEY,2007,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,OATS,TOTAL,NOT SPECIFIED,"3,763,000",
SURVEY,2006,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,OATS,TOTAL,NOT SPECIFIED,"4,166,000",
SURVEY,2005,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,OATS,TOTAL,NOT SPECIFIED,"4,246,000",
SURVEY,2004,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,OATS,TOTAL,NOT SPECIFIED,"4,085,000",
SURVEY,2003,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,OATS,TOTAL,NOT SPECIFIED,"4,597,000",
SURVEY,2002,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,OATS,TOTAL,NOT SPECIFIED,"4,995,000",
SURVEY,2001,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,OATS,TOTAL,NOT SPECIFIED,"4,401,000",
SURVEY,2000,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,OATS,TOTAL,NOT SPECIFIED,"4,473,000",
SURVEY,1999,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,OATS,TOTAL,NOT SPECIFIED,"4,668,000",
SURVEY,1998,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,OATS,TOTAL,NOT SPECIFIED,"4,891,000",
SURVEY,1997,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,OATS,TOTAL,NOT SPECIFIED,"5,068,000",
SURVEY,1996,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,OATS,TOTAL,NOT SPECIFIED,"4,638,000",
SURVEY,1995,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,OATS,TOTAL,NOT SPECIFIED,"6,225,000",
SURVEY,1994,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,OATS,TOTAL,NOT SPECIFIED,"6,637,000",
