Program,Year,Period,Week Ending,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Zip Code,Region,watershed_code,Watershed,Commodity,Domain,Domain Category,BARLEY - ACRES PLANTED  -  <b>VALUE</b>,BARLEY - ACRES PLANTED  -  <b>CV (%)</b>
SURVEY,2018,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,BARLEY,TOTAL,NOT SPECIFIED,"2,549,000",
SURVEY,2017,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,BARLEY,TOTAL,NOT SPECIFIED,"2,481,000",
SURVEY,2016,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,BARLEY,TOTAL,NOT SPECIFIED,"3,059,000",
SURVEY,2015,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,BARLEY,TOTAL,NOT SPECIFIED,"3,623,000",
SURVEY,2014,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,BARLEY,TOTAL,NOT SPECIFIED,"3,031,000",
SURVEY,2013,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,BARLEY,TOTAL,NOT SPECIFIED,"3,528,000",
SURVEY,2012,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,BARLEY,TOTAL,NOT SPECIFIED,"3,660,000",
SURVEY,2011,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,BARLEY,TOTAL,NOT SPECIFIED,"2,564,000",
SURVEY,2010,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,BARLEY,TOTAL,NOT SPECIFIED,"2,872,000",
SURVEY,2009,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,BARLEY,TOTAL,NOT SPECIFIED,"3,568,000",
SURVEY,2008,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,BARLEY,TOTAL,NOT SPECIFIED,"4,239,000",
SURVEY,2007,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,BARLEY,TOTAL,NOT SPECIFIED,"4,018,000",
SURVEY,2006,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,BARLEY,TOTAL,NOT SPECIFIED,"3,452,000",
SURVEY,2005,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,BARLEY,TOTAL,NOT SPECIFIED,"3,875,000",
SURVEY,2004,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,BARLEY,TOTAL,NOT SPECIFIED,"4,527,000",
SURVEY,2003,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,BARLEY,TOTAL,NOT SPECIFIED,"5,348,000",
SURVEY,2002,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,BARLEY,TOTAL,NOT SPECIFIED,"5,008,000",
SURVEY,2001,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,BARLEY,TOTAL,NOT SPECIFIED,"4,951,000",
SURVEY,2000,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,BARLEY,TOTAL,NOT SPECIFIED,"5,801,000",
SURVEY,1999,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,BARLEY,TOTAL,NOT SPECIFIED,"4,983,000",
SURVEY,1998,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,BARLEY,TOTAL,NOT SPECIFIED,"6,325,000",
SURVEY,1997,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,BARLEY,TOTAL,NOT SPECIFIED,"6,706,000",
SURVEY,1996,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,BARLEY,TOTAL,NOT SPECIFIED,"7,094,000",
SURVEY,1995,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,BARLEY,TOTAL,NOT SPECIFIED,"6,689,000",
SURVEY,1994,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,BARLEY,TOTAL,NOT SPECIFIED,"7,159,000",
SURVEY,1993,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,BARLEY,TOTAL,NOT SPECIFIED,"7,786,000",
SURVEY,1992,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,BARLEY,TOTAL,NOT SPECIFIED,"7,762,000",
SURVEY,1991,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,BARLEY,TOTAL,NOT SPECIFIED,"8,941,000",
SURVEY,1990,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,BARLEY,TOTAL,NOT SPECIFIED,"8,221,000",
SURVEY,1989,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,BARLEY,TOTAL,NOT SPECIFIED,"9,125,000",
SURVEY,1988,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,BARLEY,TOTAL,NOT SPECIFIED,"9,831,000",
SURVEY,1987,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,BARLEY,TOTAL,NOT SPECIFIED,"10,929,000",
SURVEY,1986,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,BARLEY,TOTAL,NOT SPECIFIED,"13,024,000",
SURVEY,1985,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,BARLEY,TOTAL,NOT SPECIFIED,"13,139,000",
SURVEY,1984,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,BARLEY,TOTAL,NOT SPECIFIED,"11,934,000",
SURVEY,1983,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,BARLEY,TOTAL,NOT SPECIFIED,"10,411,000",
SURVEY,1982,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,BARLEY,TOTAL,NOT SPECIFIED,"9,549,000",
SURVEY,1981,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,BARLEY,TOTAL,NOT SPECIFIED,"9,618,000",
SURVEY,1980,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,BARLEY,TOTAL,NOT SPECIFIED,"8,320,000",
SURVEY,1979,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,BARLEY,TOTAL,NOT SPECIFIED,"8,116,000",
SURVEY,1978,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,BARLEY,TOTAL,NOT SPECIFIED,"9,989,000",
SURVEY,1977,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,BARLEY,TOTAL,NOT SPECIFIED,"10,778,000",
SURVEY,1976,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,BARLEY,TOTAL,NOT SPECIFIED,"9,301,000",
SURVEY,1975,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,BARLEY,TOTAL,NOT SPECIFIED,"9,373,000",
SURVEY,1974,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,BARLEY,TOTAL,NOT SPECIFIED,"8,713,000",
SURVEY,1973,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,BARLEY,TOTAL,NOT SPECIFIED,"11,045,000",
SURVEY,1972,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,BARLEY,TOTAL,NOT SPECIFIED,"10,567,000",
SURVEY,1971,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,BARLEY,TOTAL,NOT SPECIFIED,"11,061,000",
SURVEY,1970,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,BARLEY,TOTAL,NOT SPECIFIED,"10,476,000",
SURVEY,1969,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,BARLEY,TOTAL,NOT SPECIFIED,"10,291,000",
SURVEY,1968,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,BARLEY,TOTAL,NOT SPECIFIED,"10,486,000",
SURVEY,1967,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,BARLEY,TOTAL,NOT SPECIFIED,"10,077,000",
SURVEY,1966,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,BARLEY,TOTAL,NOT SPECIFIED,"11,184,000",
SURVEY,1965,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,BARLEY,TOTAL,NOT SPECIFIED,"10,123,000",
SURVEY,1964,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,BARLEY,TOTAL,NOT SPECIFIED,"11,652,000",
SURVEY,1963,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,BARLEY,TOTAL,NOT SPECIFIED,"13,452,000",
SURVEY,1962,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,BARLEY,TOTAL,NOT SPECIFIED,"14,380,000",
SURVEY,1961,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,BARLEY,TOTAL,NOT SPECIFIED,"15,623,000",
SURVEY,1960,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,BARLEY,TOTAL,NOT SPECIFIED,"15,527,000",
SURVEY,1959,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,BARLEY,TOTAL,NOT SPECIFIED,"16,766,000",
SURVEY,1958,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,BARLEY,TOTAL,NOT SPECIFIED,"16,150,000",
SURVEY,1957,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,BARLEY,TOTAL,NOT SPECIFIED,"16,398,000",
SURVEY,1956,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,BARLEY,TOTAL,NOT SPECIFIED,"14,732,000",
SURVEY,1955,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,BARLEY,TOTAL,NOT SPECIFIED,"16,293,000",
SURVEY,1954,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,BARLEY,TOTAL,NOT SPECIFIED,"14,740,000",
SURVEY,1953,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,BARLEY,TOTAL,NOT SPECIFIED,"9,615,000",
SURVEY,1952,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,BARLEY,TOTAL,NOT SPECIFIED,"9,190,000",
SURVEY,1951,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,BARLEY,TOTAL,NOT SPECIFIED,"10,790,000",
SURVEY,1950,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,BARLEY,TOTAL,NOT SPECIFIED,"13,010,000",
SURVEY,1949,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,BARLEY,TOTAL,NOT SPECIFIED,"11,132,000",
SURVEY,1948,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,BARLEY,TOTAL,NOT SPECIFIED,"13,063,000",
